Date,BTC-USD,ETH-USD,DOGE-USD,SHIB-USD,BRL=X,EURBRL=X,EUR=X
2022-06-06,,,,,,,
2022-06-07,-0.006859698773187373,-0.024332589842456676,-0.024439583717199675,0.0,0.004020910532269051,0.0012314224182441436,0.003239253665521691
2022-06-08,-0.03020730515832104,-0.01128750197501005,-0.013339475445370952,0.0,0.015294754433137436,0.01635852880565647,-0.0006735179116955647
2022-06-09,-0.003387708269364409,-0.0020886896458599535,-0.0012965524123621508,0.0,0.006281187726184134,0.007893983435209417,-0.0017759594900133013
2022-06-10,-0.03414563715680452,-0.06971840279684127,-0.04893120008474594,-0.09090912097503123,0.0010616176307380876,-0.008003714670084539,0.009270775799431474
2022-06-11,-0.024858994495164377,-0.08130651657115606,-0.07367399526663865,-0.09999994543031654,,,
2022-06-12,-0.056351073137826724,-0.05520619538595595,-0.0795335496252697,0.0,,,
2022-06-13,-0.15974726027617203,-0.16650362093294369,-0.16188451878348564,-0.11111114479609885,,,
2022-06-14,-0.012477914053041661,0.0058776186564533095,0.030989806213879145,0.0,0.025963035937102585,0.015239326232646233,0.007185645815263486
2022-06-15,0.01648355417709846,0.017780176430609806,0.13325659203219975,0.12500004263256415,0.0005279954627079864,0.0025550639482645465,-0.002437164136445902
2022-06-16,-0.09707194434960298,-0.13418330070586004,-0.1265238063194405,-0.11111114479609885,-0.012529033979017501,-0.010643748460878899,-0.0014929787804844885
2022-06-17,0.004407495444594733,0.01759673482453694,0.035726608959611106,0.0,3.9547657853633567e-05,0.00875054968090283,-0.008595017608352795
2022-06-18,-0.07101780974085614,-0.08548629410097963,-0.0698833600804315,0.0,,,
2022-06-19,0.0807475952890373,0.13487797259723666,0.13928926305137623,0.0,,,
2022-06-20,0.002251010260589048,-1.2448902667161477e-05,-0.0036261070827885433,0.0,,,
2022-06-21,0.0053914098304885805,-0.0024989047535589615,0.08963564868351659,0.3750000142108547,0.006812752591756732,0.008803201478441158,-0.002790692555378782
2022-06-22,-0.034937106663198714,-0.06525702846678672,-0.058867549519128426,-0.09090912097503123,-0.012415213451087759,-0.011091379000614965,-0.0011257470490527721
2022-06-23,0.05497803800296652,0.0874671204172921,0.03761087856510725,0.0,0.013820626642304212,0.01664757709134279,-0.002980703119232153
2022-06-24,0.006913598955313738,0.07299193391343572,0.048288328331915764,0.10000003637978905,0.008548932684855792,0.004230407984430862,0.004183344286457835
2022-06-25,0.012748964915301864,0.013532415710079349,0.02054403977431596,0.09090912097503123,,,
2022-06-26,-0.02209261947079333,-0.035076073128295526,0.06823062550486347,-0.08333335859707414,,,
2022-06-27,-0.013877981325425726,-0.005126553295592751,-0.01281831333652561,0.0,,,
2022-06-28,-0.02193553187871977,-0.04113448588718749,-0.08696126159966522,-0.09090912097503123,-0.0008775463491124125,0.001464637838181737,-0.0013947343080267238
2022-06-29,-0.008708372798288844,-0.03987087571947978,0.05323159899143737,0.0,0.005690486002742912,0.00027085487860767365,0.005449180056163794
2022-06-30,-0.01588223750298734,-0.0287958475755975,-0.04868424877011468,0.0,-0.016272364133871897,-0.023501788827929082,0.007366450160106064
2022-07-01,-0.02604834458398897,-0.007056593656957433,0.00134668739140964,0.0,0.013723437398615035,0.016950733144395436,-0.002966813802499302
2022-07-02,-0.0014069651515379311,0.006365060690327828,0.007903301313756605,0.0,,,
2022-07-03,0.002848954556089245,0.0068017470323764595,0.007211641037911498,0.0,,,
2022-07-04,0.04841073013105235,0.0719822052433643,0.034132661565933864,0.0,,,
2022-07-05,-0.0020338071321012174,-0.014350320208673328,-0.03335151507221823,0.0,-0.0005064438313808761,-7.199711325045488e-05,7.30124384835662e-05
2022-07-06,0.017737930428710857,0.046215150158809504,0.021264136742305206,0.0,0.01067883272755088,-0.006281192055958229,0.01711040353777271
2022-07-07,0.053013857820514154,0.04264574018240608,0.029715849575678854,0.10000003637978905,0.007947699149154053,0.0009417736867309845,0.0069957566050689035
2022-07-08,0.004322538045727464,-0.012190723060375164,-0.019314370597314556,0.0,-0.016543824875315583,-0.01836572874137632,0.001629792680632125
2022-07-09,-0.006392223420980114,-0.00452182081846908,0.0036819899312754423,0.09090912097503123,,,
2022-07-10,-0.03388990349346599,-0.03991579906928,-0.03235416023785431,-0.08333335859707414,,,
2022-07-11,-0.04265931997884009,-0.06090802885970559,-0.08051972737363677,-0.09090912097503123,,,
2022-07-12,-0.03237979740682695,-0.05381238956798651,-0.028457357482817636,0.0,0.023448788607676407,0.009629198771277103,0.011802890564159174
2022-07-13,0.04596171114078618,0.07262195547819328,0.031054997987846056,0.10000003637978905,0.011028034001826503,0.009407816056956175,0.0014367709395095574
2022-07-14,0.017704551212910147,0.0699892112978604,0.007118297102255422,0.0,-0.008387737851747956,-0.00790745163675799,4.0127136643031136e-05
2022-07-15,0.012951348577769028,0.034915643229785465,0.010385603425494994,0.0,0.005917365977396782,0.004697209935955238,0.0007022864134966778
2022-07-16,0.01698899533192111,0.09690575753178088,0.019637755375794486,0.0,,,
2022-07-17,-0.01939436147960416,-0.010343374922703541,-0.018248357928284387,0.0,,,
2022-07-18,0.08211740099467768,0.17934838115706353,0.07301880809125971,0.09090912097503123,,,
2022-07-19,0.0401919693193753,-0.02264031837667424,0.01916861793070912,0.0,0.004935217448709173,0.011075254865162476,-0.004815924934469806
2022-07-20,-0.006742410894342465,-0.014760143806359038,0.016040453566363855,0.0,-0.004359225511489595,0.0037540765513033314,-0.008420503818860059
2022-07-21,-0.0028884421706671937,0.037198265160175215,-0.0022818200200247496,0.0,0.01054853937507394,0.006016572432734568,0.004767810576523868
