,papel,empresa,setor,subsetor
435,BRIT3,BRISANET ON NM,Telecomunicações,Telecomunicações
436,DESK3,DESKTOPSIGMA ON NM,Telecomunicações,Telecomunicações
437,OIBR3,OI ON N1,Telecomunicações,Telecomunicações
438,OIBR4,OI ON N1,Telecomunicações,Telecomunicações
439,TELB3,TELEBRAS ON,Telecomunicações,Telecomunicações
440,TELB4,TELEBRAS PN,Telecomunicações,Telecomunicações
441,VIVT3,TELEF BRASIL ON,Telecomunicações,Telecomunicações
442,TIMS3,TIM ON NM,Telecomunicações,Telecomunicações
443,FIQE3,UNIFIQUE ON NM,Telecomunicações,Telecomunicações
444,CCRO3,COMPANHIA DE CONCESSÕES RODOVIÁRIAS ON NM,Transporte,Exploração de Rodovias
445,ECOR3,ECORODOVIAS ON NM,Transporte,Exploração de Rodovias
446,TPIS3,TRIUNFO PARTICIPACOES SA ON NM,Transporte,Exploração de Rodovias
447,STBP3,SBPAR ON NM,Transporte,Serviços de Apoio e Armazenagem
448,WSON33,Wilson Sons DR3,Transporte,Serviços de Apoio e Armazenagem
449,PORT3,WILSON SONS ON NM,Transporte,Serviços de Apoio e Armazenagem
450,AZUL4,AZUL PN,Transporte,Transporte Aéreo
451,GOLL4,GOL LINHAS AEREAS INTELIGENTES SA PN,Transporte,Transporte Aéreo
452,RAIL3,RUMO S.A. ON NM,Transporte,Transporte Ferroviário
453,HBSA3,HIDROVIAS ON NM,Transporte,Transporte Hidroviário
454,LOGN3,Log-In ON NM,Transporte,Transporte Hidroviário
455,LUXM4,TREVISA INVESTIMENTOS SA PN,Transporte,Transporte Hidroviário
456,JSLG3,JULIO SIMOES ON NM,Transporte,Transporte Rodoviário
457,TGMA3,Tegma ON NM,Transporte,Transporte Rodoviário
458,WHRL3,WHIRLPOOL S.A. ON,Utilidades Domésticas,Eletrodomésticos
459,WHRL4,WHIRLPOOL S.A. PN,Utilidades Domésticas,Eletrodomésticos
460,UCAS3,UNICASA ON NM,Utilidades Domésticas,Móveis
461,HETA3,HERCULES S/A ON,Utilidades Domésticas,Utensílios Domésticos
462,HETA4,HERCULES S/A PN,Utilidades Domésticas,Utensílios Domésticos
463,SMFT3,SMART FIT ON NM,Viagens e Lazer,Atividades Esportivas
464,BMKS3,MONARK ON,Viagens e Lazer,Bicicletas
465,ESTR4,ESTRELA PN,Viagens e Lazer,Brinquedos e Jogos
466,AHEB3,PARQUE ANHEMBI ON,Viagens e Lazer,Produção de Eventos e Shows
467,SHOW3,TIME FOR FUN ON NM,Viagens e Lazer,Produção de Eventos e Shows
468,CVCB3,CVC BRASIL ON NM,Viagens e Lazer,Viagens e Turismo
